year,title,excerpt
2004,"Letter from Richard Ness, president of PT Newmont Minahasa Raya, says credible international organizations have sampled Buyat Bay and found no negative health impact from company's mine on people or waters of Indonesian waters",points to rigorous monitoring and inspections Mining in Indonesia
1949,"Plans for the erection of a modern business building in Getty Square, Yonkers, N. Y., were announced yesterday in connection with the sale of the old Radford Hall Building by the Samuel B. Hawley Estate to Samuel Knepper, New York operator and builder.   YONKERS SITE SOLD FOR NEW BUILDING",Modern Structure Planned in Getty Square -- Apartments for White Plains Block
1936,Exhibition of Chilean products opens CHILEAN EXHIBIT OPENED,Ambassador Says 'Good Neighbor' Policy Has Removed Prejudices.
1955,"Dr. Charles F. Rank, newly elected vice president of the Board of Education, will serve as chairman of the board's finance and budget committee. He succeeds Vito F. Lanza, who, together with Dr. Rank, represents Queens on the school body.   RANK GETS SCHOOL POST",New Education Board Member Heads Finance Group
1943,Profs Wegelin and Liechti hold discovery rept premature Notes on Science,Field Ration for Soldiers -- New Rubber Substitute
1954,NAVAL STORES,
1933,Introduces bonus bill in House of Reprs INSTALMENT BONUS PROPOSED BY FISH,House Bill Calls for Payment to Unemployed Veterans at $15 or $30 a Month.
2012,"Two former New York City officials have admitted taking bribes, becoming the latest people connected to the housing department to fall in a continuing corruption investigation. Former Housing Officials Plead Guilty to Bribery",
1965,"MRS. STREIT DEFEATS NANCY ROTH, 4 AND 3",
1968,"Archbishop Molloy High School turned the annual Marist Brothers cross-country meet into a virtual intrasquad workout yesterday, by sweeping its three races.   Molloy's Runners Win 3 Team Titles In Marist Meet",
1986,"A group of veterans and a 73-year-old woman who was the first civilian to receive the Bronze Star, will return their medals in a ceremony at the Lincoln Memorial today to protest the United States role in the conflict in Nicaragua.   At 10 A.M., a group of veterans will deposit 75 medals, primarily Purple Hearts, collected from other veterans around the country as a protest against a growing United States military involvement in the Nicaraguan war. Turning In Medals",
1995,Forward ROY TARPLEY will not play for the Dallas Mavericks in the immediate future. Illness Sidelines Tarpley,
1948,"Census Bur repts Fed, State, city and county govts payrolls at record high in Oct, '47",number of employes and salary averages noted; 1 of every 10 employed persons cited as pub employe CIVIL LIST PAYROLLS REACH RECORD HIGH
1930,Favors full debate in Sen TREATY FORCES TO SEEK RATIFICATION IN TEN DAYS,PLAN MAPPED WITH HOOVER; NEW IMPETUS PUT IN FIGHT 'Young Guard' Senators at Rapidan Discuss Way to Hold Quorum. VOTE PREDICTED BY JULY 24 Watson Says Friends Will Stay Till Then--Borah Against Projected Closure. OPPOSITION ALSO ACTIVE Moses Prepares More Reservations to Offer After NorrisMotion Is Disposed Of. Borah for Full Discussion. Opposition Also Lays Plans.
1942,Canberra survivors describe battle DIVE-BOMBERS LED SOLOMONS ATTACK,Canberra Survivor Also Says Allied Thrust Had Enemy 'On Run From the Start' FOE'S FLIERS PAID TOLL Officer Says Planes Failed to Hit Australian Cruiser Sunk in Naval Action
1954,"Authority considers licensing superbuses to operate only on Thruway Superbuses, Naturally, May Ply Superhighway",
1953,"YONKERS, Oct. 29 (AP) -- The Black Prince, driven by Jimmy Jordan, held off the stretch bid of Rebel Land, piloted by Dr. V. C. Fobian, to win a photo decision in the $4,000 Cloister feature pace on the Grand Circuit program tonight at Yonkers Raceway.   THE BLACK PRINCE VICTOR AT YONKERS","Beats Rebel Land in Photo Finish, With Lord Clinton Third in Pace Event"
1971,"Dr J P Eaton of Natl Center for Earthquake Research, other quake specialists, after preliminary study, fear Los Angeles area faces greatest quake ever (W Sullivan rept)","they warn accumulation of strain along fault which skirts San Francisco and passes near Los Angeles threatens quake like one that hit San Francisco in '06; say Los Angeles quake, instead of relieving strain along fault, may have increased it; findings by Dr Franken, Dr Steinbrugge and Dr Franklin outlined Scientists Fear Worse Quake on Coast"
