year,decade,Combined_Text
1926,1920,"A new aspirant for Tom Mix's audiences, named Ken Maynard, is introduced in a picture entitled ""Señor Daredevil,"" which is sojourning at the Colony. As the wages of a cowboy are nominal it is no wonder that occasionally a rough-rider should take a chance before the camera, especially when he hears that Mr. Mix's income is something like $2,000 a day. Mr. Maynard is good-looking and he rides so well that he makes extraordinary feats of horsemanship look comparatively simple. This vehicle, however, is not conspicuous for its originality and therefore it does not give Mr. Maynard much opportunity to show his ability as an actor. Nevertheless, in these hectic film days a prepossessing appearance is half the battle when a man has a horse he can ride, and Mr. Maynard, like Mr. Mix, has an animal called Tarzan who insists on getting his way in this yarn.This Señor Daredevil has an Irish father and a Mexican mother. They have been separated for years, owing to the incompatibility of temperaments. Daredevil's real name is Don Luis O'Flagherty, but having lived with his maternal relative most of his life he speaks like a Latin. When Tarzan insists that the young man shall ride him and not the other horse, this Don Luis O'Flagherty is quoted as saying:""You no want me to ride heem.""The plot of this Western effusion deals with a place called Goldstrike and bandits who want to starve out the Claimholders so that they can get the land for next to nothing. Food trains are constantly robbed and finally the ring leader of the rascals is put in charge of the community. Daredevil's father is ousted from the job and it is the dapper son, who first appears dressed like a bull-fighter off duty, that handles the situation so that the stakeholders come into their own.Herein are some effective scenes of a pack train going up and down a dangerous mountain trail. Mr. Maynard soon gets into the good graces of the heroine, which is no wonder, seeing that he is sufficiently resourceful to outwit the bandits and tie up some of them in sacks.Dorothy Devore lends her presence to the leading feminine rôle. That veterean screen actor, George Nichols, does well with the part of Daredevil's father. A New Rough Rider. "
1922,1920,"LONDON, Jan. 30.--Ought girls to be allowed to smoke during office hours?  This question was raised today in a Republican court in Dublin by Miss Smith, ...   GIRL SMOKER WINS SUIT. Discharged for Lighting Cigarette in Office, Gets Week's Salary."
1923,1920,"J Oudegeest compares development in U S and Eur, blames S Gompers's poor leadership for slow growth in U S, in interview with W A Du Puy sp art, with Oudegeest's por GAMPERS FAILS AS LEADER, SAYS EUROPEAN LABORITE; BIG OPPORTUNITY MISSED"
1927,1920,"Statement on play by Chinese student to be produced at Yale YALE TO GIVE PLAY BY CHINESE STUDENT "" Peking Politics"" Called First Effort by Native to Depict China on Stage Here. VIVID DRAMA,"" SAYS BAKER Professor Declares Work Which Is to Be Produced Tuesday Treats of Unrest and Political Strife."
1928,1920,CITY COLLEGE DRILLS AGAINST R.P.I. PLAYS Varsity Is Nearly Scored on by Jayvees--Goldhammer and Timiansky on 1st Team.
1921,1920,"CINCIATI, June 24.--The Autumn racing season in Kentucky will open at Latonia Sept. 3.   RACING SEASON 47 DAYS. Kentucky Autumn Events to Open at Latonia Sept. 3."
1927,1920,"Offers resolution for Federal dept of aeronautics, at Amer Legion convention MINISTRY OF AIR IS URGED BY LEGION Convention Votes for Separate Department Under Own Cabinet Secretary. MITCHELL AGAINST DELAY Objects, With Hoffman, to Phrase 'as Soon as Warranted,' but Is Overruled. ELECTIONS SET FOR TODAY Edward E. Spafford of New York is Largely Favored as Successor to Commander Savage."
1920,1920,Bank of England Statement. 
1927,1920,"Crew arrives in England KENT SCHOOL CREW ARRIVES IN ENGLAND Reaches Southampton on the Berengaria to Compete in Henley Regatta. EXPERTS ARE IMPRESSED Hold Scant Hope for British Eights Against Schoolboy Invaders, Who Average 174 Pounds."
1927,1920,"SERVICES IN BROOKLYN. Dr. Cadman's Talk on ""The Immigrant Queen"" to Be Broadcast."
1928,1920,"Faust, by Goethe history of presentations, &c; illus THE PLAY; Guilding Faust."
1926,1920,"After an opening gain of 1/8 cent, at 3.73 cent, as Paris bought heavily in London before we started, local bankers and dealers yesterday failed to follow up the lead set abroad, but in turn supplied the market with their franc accumulations of the week. Offerings poured in from all over, forcing a reaction of 1/8 cent from the early high, to 3.60 1/2.   FOREIGN EXCHANGE. Francs Start Higher, but Local Selling Cancels Gain -- Sterling Up, Lire Lower."
1925,1920,"Tear gas bombs rout spectators of N J N G sham battle inquiry TEAR GAS IN SHAM FIGHT ROUTS CROWD OF 2,000; Spectators Flee While 500 New Jersey Guardsmen Weep -- Mistake in Bomb Shipment."
1929,1920,Hotel Lexington HONOR SKILLFUL WORKMEN. Mechanics on Hotel Lexington to Receive Gold Buttons.
1923,1920,"Drinks Alcohol in Milk Bottle, Dies. "
1929,1920,"Returns to U S NATHAN MILLSTEIN, NEW VIOLINIST, HERE Returning Musicians Include Rosa Ponselle and Tullio Serafin-- Alfonso Grosso, Painter, Arrives."
1929,1920,"KYNASTON WINS AT NET Beats Halberstadt, 6-4, 6-1, to Gain Fourth Round at Elmsford."
1928,1920,Ed UNREAL IMMIGRATION QUOTAS. 
1923,1920,Mechanics & Merchants Bank of Phila closed JOSEPH B. MARCINO ACCUSED State Insurance Department to Examine Niagara Life Company.
1928,1920,"Melville, L, W M Thackeray An Unambitious Biography of Thackeray "
1926,1920,"Tennis comment AYDELOTTE VICTOR AT BROOKLYN NET Gains Semi-Final in Title Play, 6-3, 6-4 -- Behr, Mangin And Rockafellow Win."
1920,1920,NOSKE SAYS ORDER IS BEING RESTORED Denies Communists Are Allied With Russians and Asserts Constitution Will Be Upheld.
1926,1920,"Death ' .IRA HALSEY PATGHIN DIES IN HOSPITAL Member of Staff of J. P. Morgan & Co. Succumb at 42 After an Operation. SERVED UND'ER F. !.. POLK Was Secretary of the International Bankers' Committee on the Mexican Debt,"
1929,1920,"RUTGERS REGISTERS 4 TIMES OH JAYVEES Grossman's Forward Passes to Greenberg, Stager and Horton Feature Practice Game. BROTHERS SEEK SAME POST Milt and Claremont Anderson After Left Guard Berth--Second Team Gets One Touchdown."
1928,1920,"WEST INDIES ELEVEN WINS. Defeats Wales, 198-166, in Cricket Match at Llandudno."
1929,1920,"condition MISS BOOTH BETTER X-RAY TEST ABANDONED; Makes 'Real Progress,' Her Doctor Reports--Use of StimulantsIs Discontinued."
1926,1920,Meyerhold's buffoon production of Gogol's Revisor shocks Moscow MOSCOW ART THEATRE GETS A CHALLENGE Meyerhold Substitutes Slapstick Buffoonery for Stanislawski's Dignified Production.
1927,1920,Infant daughter christened Lucy Lucy Hoffman Christened. 
