year,title,excerpt,decade
1926,"A new aspirant for Tom Mix's audiences, named Ken Maynard, is introduced in a picture entitled ""Señor Daredevil,"" which is sojourning at the Colony. As the wages of a cowboy are nominal it is no wonder that occasionally a rough-rider should take a chance before the camera, especially when he hears that Mr. Mix's income is something like $2,000 a day. Mr. Maynard is good-looking and he rides so well that he makes extraordinary feats of horsemanship look comparatively simple. This vehicle, however, is not conspicuous for its originality and therefore it does not give Mr. Maynard much opportunity to show his ability as an actor. Nevertheless, in these hectic film days a prepossessing appearance is half the battle when a man has a horse he can ride, and Mr. Maynard, like Mr. Mix, has an animal called Tarzan who insists on getting his way in this yarn.This Señor Daredevil has an Irish father and a Mexican mother. They have been separated for years, owing to the incompatibility of temperaments. Daredevil's real name is Don Luis O'Flagherty, but having lived with his maternal relative most of his life he speaks like a Latin. When Tarzan insists that the young man shall ride him and not the other horse, this Don Luis O'Flagherty is quoted as saying:""You no want me to ride heem.""The plot of this Western effusion deals with a place called Goldstrike and bandits who want to starve out the Claimholders so that they can get the land for next to nothing. Food trains are constantly robbed and finally the ring leader of the rascals is put in charge of the community. Daredevil's father is ousted from the job and it is the dapper son, who first appears dressed like a bull-fighter off duty, that handles the situation so that the stakeholders come into their own.Herein are some effective scenes of a pack train going up and down a dangerous mountain trail. Mr. Maynard soon gets into the good graces of the heroine, which is no wonder, seeing that he is sufficiently resourceful to outwit the bandits and tie up some of them in sacks.Dorothy Devore lends her presence to the leading feminine rôle. That veterean screen actor, George Nichols, does well with the part of Daredevil's father. A New Rough Rider.",,1920
1922,"LONDON, Jan. 30.--Ought girls to be allowed to smoke during office hours?  This question was raised today in a Republican court in Dublin by Miss Smith, ...   GIRL SMOKER WINS SUIT.","Discharged for Lighting Cigarette in Office, Gets Week's Salary.",1920
1923,"J Oudegeest compares development in U S and Eur, blames S Gompers's poor leadership for slow growth in U S, in interview with W A Du Puy","sp art, with Oudegeest's por GAMPERS FAILS AS LEADER, SAYS EUROPEAN LABORITE; BIG OPPORTUNITY MISSED",1920
1927,Statement on play by Chinese student to be produced at Yale YALE TO GIVE PLAY BY CHINESE STUDENT,""" Peking Politics"" Called First Effort by Native to Depict China on Stage Here. VIVID DRAMA,"" SAYS BAKER Professor Declares Work Which Is to Be Produced Tuesday Treats of Unrest and Political Strife.",1920
1928,CITY COLLEGE DRILLS AGAINST R.P.I. PLAYS,Varsity Is Nearly Scored on by Jayvees--Goldhammer and Timiansky on 1st Team.,1920
1921,"CINCIATI, June 24.--The Autumn racing season in Kentucky will open at Latonia Sept. 3.   RACING SEASON 47 DAYS.",Kentucky Autumn Events to Open at Latonia Sept. 3.,1920
1927,"Offers resolution for Federal dept of aeronautics, at Amer Legion convention MINISTRY OF AIR IS URGED BY LEGION","Convention Votes for Separate Department Under Own Cabinet Secretary. MITCHELL AGAINST DELAY Objects, With Hoffman, to Phrase 'as Soon as Warranted,' but Is Overruled. ELECTIONS SET FOR TODAY Edward E. Spafford of New York is Largely Favored as Successor to Commander Savage.",1920
1920,Bank of England Statement.,,1920
1927,Crew arrives in England KENT SCHOOL CREW ARRIVES IN ENGLAND,"Reaches Southampton on the Berengaria to Compete in Henley Regatta. EXPERTS ARE IMPRESSED Hold Scant Hope for British Eights Against Schoolboy Invaders, Who Average 174 Pounds.",1920
1927,SERVICES IN BROOKLYN.,"Dr. Cadman's Talk on ""The Immigrant Queen"" to Be Broadcast.",1920
1928,"Faust, by Goethe","history of presentations, &c; illus THE PLAY; Guilding Faust.",1920
1926,"After an opening gain of 1/8 cent, at 3.73 cent, as Paris bought heavily in London before we started, local bankers and dealers yesterday failed to follow up the lead set abroad, but in turn supplied the market with their franc accumulations of the week. Offerings poured in from all over, forcing a reaction of 1/8 cent from the early high, to 3.60 1/2.   FOREIGN EXCHANGE.","Francs Start Higher, but Local Selling Cancels Gain -- Sterling Up, Lire Lower.",1920
1925,Tear gas bombs rout spectators of N J N G sham battle,"inquiry TEAR GAS IN SHAM FIGHT ROUTS CROWD OF 2,000; Spectators Flee While 500 New Jersey Guardsmen Weep -- Mistake in Bomb Shipment.",1920
1929,Hotel Lexington HONOR SKILLFUL WORKMEN.,Mechanics on Hotel Lexington to Receive Gold Buttons.,1920
1923,"Drinks Alcohol in Milk Bottle, Dies.",,1920
1929,"Returns to U S NATHAN MILLSTEIN, NEW VIOLINIST, HERE","Returning Musicians Include Rosa Ponselle and Tullio Serafin-- Alfonso Grosso, Painter, Arrives.",1920
1929,KYNASTON WINS AT NET,"Beats Halberstadt, 6-4, 6-1, to Gain Fourth Round at Elmsford.",1920
1928,Ed UNREAL IMMIGRATION QUOTAS.,,1920
1923,Mechanics & Merchants Bank of Phila closed JOSEPH B. MARCINO ACCUSED,State Insurance Department to Examine Niagara Life Company.,1920
1928,"Melville, L, W M Thackeray An Unambitious Biography of Thackeray",,1920
1926,Tennis comment AYDELOTTE VICTOR AT BROOKLYN NET,"Gains Semi-Final in Title Play, 6-3, 6-4 -- Behr, Mangin And Rockafellow Win.",1920
1920,NOSKE SAYS ORDER IS BEING RESTORED,Denies Communists Are Allied With Russians and Asserts Constitution Will Be Upheld.,1920
1926,Death ' .IRA HALSEY PATGHIN DIES IN HOSPITAL,"Member of Staff of J. P. Morgan & Co. Succumb at 42 After an Operation. SERVED UND'ER F. !.. POLK Was Secretary of the International Bankers' Committee on the Mexican Debt,",1920
1929,RUTGERS REGISTERS 4 TIMES OH JAYVEES,"Grossman's Forward Passes to Greenberg, Stager and Horton Feature Practice Game. BROTHERS SEEK SAME POST Milt and Claremont Anderson After Left Guard Berth--Second Team Gets One Touchdown.",1920
1928,WEST INDIES ELEVEN WINS.,"Defeats Wales, 198-166, in Cricket Match at Llandudno.",1920
1929,condition MISS BOOTH BETTER,"X-RAY TEST ABANDONED; Makes 'Real Progress,' Her Doctor Reports--Use of StimulantsIs Discontinued.",1920
1926,Meyerhold's buffoon production of Gogol's Revisor shocks Moscow MOSCOW ART THEATRE GETS A CHALLENGE,Meyerhold Substitutes Slapstick Buffoonery for Stanislawski's Dignified Production.,1920
1927,Infant daughter christened Lucy Lucy Hoffman Christened.,,1920
1928,Proposes comm to investigate charge against T A McDonald NEW JERSEY SENATE VOTES BANK INQUIRY,Republicans Alter Stand When Maxson Asks Investigation of His Department. RICHARDS SEES VICTORY Realty Man Charges Political Plot Prevented Trenton Institution From Moving.,1920
1923,"pardons Mrs Anna Hozer, mother of 12 children, arrested for violating prohibition law in Mich SET FREE BY HARDING, WOMAN AGAIN IN JAIL",Mother of Twelve Arrested in Michigan for Celebrating Latest Arrival With Liquor.,1920
1927,TIGER TRACKMEN TO TOUR.,"Schedule First Southern Invasion, Meeting Virginia in April.",1920
1927,"So Manchuria Railway, Japan warns China JAPAN WARNS CHINA ON MANCHURIA LINE","Tokio Demands Stop Be Put to Infringement on Her Rights by Chinese Railway Building. HER ROAD GOOD AS ANY HERE Part of Its Profits Are Devoted to Hospitals, Libraries, Schools and Other Philanthropies. JAPAN WARNS CHINA ON MANCHURIAN LINE",1920
1928,METAL MARKET REPORT.,,1920
1926,Admits use of name of Queen Marie of Rumania for publicity for opening Broadway moving picture theatre WELCOME' FOR QUEEN MADE A MOVIE STUNT,Press Agent Admits Use of Marie's Name Was Part of Film Publicity.,1920
1928,BUSINESS RECORDS,,1920
1923,Hobart Defeats Trinity.,,1920
1922,"Harry Wills, giant New Orleans negro heavyweight, yesterday issued a formal challenge to Jack Dempsey, world's heavyweight champion, to battle for the title. Paddy Mullins, manager of Wills,...   WILLS POSTS $2,500 FOR DEMPSEY FIGHT",Negro Deposits Forfeit With State Commission to Force Match With Champion. JACK'S REPLY AWAITED Chairman Muldoon Intimates TitleHolder Cannot Hide Behind Big Financial Demand.,1920
1927,"Semi-annual report Kayser Earns $963,353 Net.",,1920
1929,negotiations in progress CONCORD AT PLANNED FOR VATICAN ACCORD,"Powers Would Be Notified Thus of Italo-Papal Agreement, If It Is Approved. POPE AND GASPARRI CONFER Rome Church Circles Give Cardinal Bourne Much Credit for Favorable Negotiations. Pope Talks With Gasparri. Give Credit to British Cardinal. Doubt Pope Will Travel Much. Negotiators Are Silent. Main Issues Compromised. Many Details Remain.",1920
1920,"In his brief service as Secretary of State BAINBRIDGE COLBY has won good opinions. His transaction of the business of the department has been marked by readiness, skill and sound judgment.   SECRETARY COLBY'S MISSION.",,1920
1929,SAVAGE SCHOOL FIVE WINS.,"McCoy's Two Baskets Near Close Beat St. Francis College, 32-29.",1920
1927,King's Daughters to Hold Sale.,,1920
1920,"Walks 126,400 Miles as a Carrier.",,1920
1926,Remanded to Grand Jury HELD IN WANT AD. CASE.,Man Accused by Girl Who Sought Job Is Remanded to Grand Jury.,1920
1926,Stevenson Soc of Amer plans fireproof room for protection of relics in memorial cottage at Saranac Lake GUARD STEVENSON RELICS.,Society Will Provide Fireproof Room at Saranac Lake Cottage.,1920
1925,Will give away candy LEADS WORLD ON TANKERS.,"United States Owns 402 With a Gross Tonnage o $2,507,854.",1920
1928,"A Meysell, German, gives up attempt","A Bakker, Holland, still in water TWO ATTEMPT CHANNEL.; German Girl Quits After 5 Hours, Dutch Man Goes On.",1920
1928,Exhibit of fraudulent securities shown by Seamen's Bank for Savings SEEK FEDERAL CHARTERS,"Three Banks, One Here, Apply to Controller of Currency.",1920
1925,"Works, Newmann's Print Room ART: EXHIBITIONS OF THE WEEK",,1920
1920,"BERLIN, Feb. 8.--The allied list of war criminals and the covering letter accompanying it were handed to Premier Gustav Bauer at 9 o'clock Saturday night by M. de Marcilly, the French Charge d'Affaires.   EXTRADITION LIST DELIVERED IN BERLIN",Cabinet Considering That and Two Allied Notes Officially Presented to It.,1920
1922,PROBLEMS IN POLAND,Agrarian Reforms as a Means to Genuine Democracy,1920
1929,"Burned to death in perambulator by his mother, who confesses murder, Los Angeles, Cal ADMITS KILLING HER BABY.","Los Angeles Woman Held for Murder, Blames Poverty.",1920
1921,KRAMER AND PIANI COMBINE.,Will Meet Goullet and Moeskops in Team Bike Race at Newark.,1920
1927,Inner life STRESSES THE INNER LIFE.,Dr. Bowie Says We Must Detach Gaze From External Things.,1920
1929,"Rockaway Av, 243, Bklyn stable",1 injured INJURED IN STABLE FIRE.; Caretaker Hurt Trying to Save Pet Horses From Flames.,1920
1920,Bank of France Statement.,,1920
1928,Kansas City Buys La France.,,1920
1928,"E J Cooper and E E Richardson fly from Rockaway, N Y, to St John, N B, en route to Moncton, N B ST. JOHN, N.B., Jan. 6--Captain",,1920
1927,"Urban, J, vs A Sklar SCOTT KNOCKS OUT MUNN IN 10TH ROUND",English Champion Batters Nebraskan From Start in St. Nicholas Feature. URBAN STOPS SKLAR IN 1ST Referee Halts Semi-Final to Save Long Islander From Punishment -- Arthurs Beats Stringham.,1920
1921,Marriage Announcement 3 -- No Title,,1920
1922,BANKER TELLS OF MESSAGE.,S.G. Bayne Confirms His Dispatch to Cauffiel.,1920
1921,"A quartet of New York A.C. middledistance runners carried off the Metropolitan A.A.U. four-mile relay championship last night at the Thirteenth Regiment Armory in Brooklyn, where the event was held in connection with the first annual indoor athletic meet of the Silk Athletic Association.   N.Y.A.C. QUARTET WINS RELAY TITLE","Winged Foot Team Romps Away With ""Met."" 4-Mile Race at Silk A.A. Games.",1920
1929,"PEKING, Feb. 24.--At the little city of Changteho, in Honan Province, the gentry, acting through the Chinese Board of Trade, and despairing of receiving any famine relief from Nanking, have themselves organized to feed 9,000 people out of the city's population of somewhat less than 50,000.   CHINESE GENTRY FEED POOR","$145 Provides 9,000 in Changteho With Daily Meal of Gruel.",1920
1928,Battling Brousseau Wins.,,1920
1927,Infant son christened Christened in Cathedral.,,1920
1921,"The notable collection of Sidney G. Really of New York and London, consisting of literary, artistic and historical properties illustrative of the life of Napoleon Bonaparte, will be sold at the ...   TO SELL COLLECTION PICTURING NAPOLEON","Literary, Artistic and Historical Porperties Illustrate Life of the Emperor. GATHERED BY S.G. REILLY Deals With Bonaparte From His First Appearance In Military Affairs Until His Death.",1920
1926,"Guarded by Paris police after death threats, due to agitation in favor of Sacco and Vanzetti HERRICK RECEIVES TWO DEATH THREATS","Letters Declare He Will Be Shot Upon the ""Execution"" of Sacco and Vanzetti. AMBASSADOR IS GUARDED He Says He Will Not Change His Routine, but the Police Protect Him and Embassy. HERRICK RECEIVES TWO DEATH THREATS",1920
1921,"OFFICIAL temperatures recorded in Basra, by The Mesopotamian Times  run from 128.7 in July to 121.5 in August, and a correspondent of The Referee declares that the heat in Bagdad has been just as trying.   JAPANESE BEER IN BAGDAD.",,1920
1927,Child Is Killed by a Taxicab.,,1920
1922,Walker Is Harvard Captain.,,1920
1925,Jockey F Lux killed Article 5 -- No Title,,1920
1926,Temporarily stopped in the West by storm and cold STORM GRIPS WEST,NINE DIE IN COLD; Rocky Mountain Region Thirty Below Zero -- Schools and Public Buildings Closed. AIR MAIL SERVICE STOPS Wires and Trains Crippled as Cold Wave Advances Into the Central States.,1920
1926,"Washington expresses satisfaction informally with British plan, as outlined in memorandum handed to diplomatic corps at Peking, dealing with surtaxes and customs Article 2 -- No Title",,1920
1926,RECENTLY there has been some inquiry as to whether or no Canada has men of letters. The findings have considerably annoyed our neighbor. This is a pity when one considers what a friendly oasis and source of pleasure Canada has been for those Americans who left the blue.   A Canada Without Mounted Police,"THE HAPPY ISLANDS. Stories and Sketches of the Georgian Bay. By Marlow A. Shaw. Illustrations by Thoreau Macdonald. 254 pp. Toronto: McClelland & Stewart, Limited. $2.",1920
1928,14 TRAPPED IN ELEVATOR.,Firemen Free St. Patrick's Eve Party in Municipal Building.,1920
1921,Fears American Papers in Canada.,,1920
1929,Visits wife's parents in Sweden Prince Leopold in Sweden.,,1920
1929,"Ed, The real happy warrior",on Thomas THE REAL HAPPY WARRIOR.,1920
1928,"Differentiates H W Allen from H J Allen, lr Two Allens of Kansas.",,1920
1920,GIANTS AT POLO GROUNDS.,McGraw's Men Today Begin Last Home Stand Before Western Trip,1920
1925,"The early opening of the vehicular tunnel resulted in the closing of a deal for Hudson Street property yesterday, when William S. Coffin bought from various owners the properties at 231, 233, 235 and 237 Hudson Streeet and 2, 4, 6 and 8 Renwick Street, with 503 Canal Street. Brown, Wheelock: Harris, Vought  Co. were the brokers.   LATEST DEALINGS IN REALTY FIELD",William S. Coffin Assembles Plot Opposite New Vehicular Tunnel Plaza.,1920
1923,"It is a well-established constitutional principle that education is a State function. In practice this means that the State holds itself ultimately responsible for the schooling of its children. In meeting this responsibility the State leaves, and should leave, as much as possible to local initiative and should give every possible encouragement to local interest in the maintenance of good schools.   THE STATE AND THE SCHOOLS.",,1920
1921,"A number of important articles continue to show considerable resistance to a further lowering of prices, but wholesale commodity prices as a whole still trend strongly downward, 38 recessions appearing this week in the list...   THE WEEK'S PRICE TREND.",Comparatively Fewer Declines Shown This Weew Than Last.,1920
1920,NEW RAIL STRIKE IN BRAZIL.,Demand for Higher Wages Ties Up the Great Western System.,1920
